expense_category,payee_name,payee_clean,total
Media,Sonipak Design & Marketing,Sonipak Design & Marketing,Sonipak Design & Marketing
Media,Sonipak Design & Marketing,Sonipak Design & Marketing,Sonipak Design & Marketing
Media,Sonipak Design & Marketing,Sonipak Design & Marketing,Sonipak Design & Marketing
Media,Sonipak Design & Marketing,Sonipak Design & Marketing,Sonipak Design & Marketing
Media,Sophia Carmella Reed,Sophia Carmella Reed,Sophia Carmella Reed
Media,Source IT Technologies,Source IT Technologies,Source IT Technologies
Media,South Carroll Lioness-Lions Club,South Carroll Lioness-Lions Club,South Carroll Lioness-Lions Club
Media,Southern Garrett Boys Basketball,Southern Garrett Boys Basketball,Southern Garrett Boys Basketball
Media,Southern Garrett High School,Southern Garrett High School,Southern Garrett High School
Media,Southern Garrett High School,Southern Garrett High School,Southern Garrett High School
Media,Southern High Basketball,Southern High Basketball,Southern High Basketball
Media,Southern High School,Southern High School,Southern High School
Media,Southern High Soccer,Southern High Soccer,Southern High Soccer
Media,Southern Maryland Chronicle,Southern Maryland Chronicle,Southern Maryland Chronicle
Media,Southern Maryland Chronicle,Southern Maryland Chronicle,Southern Maryland Chronicle
Media,Southern Maryland News,Southern Maryland News,Southern Maryland News
Media,Southern Maryland News Net,SOUTHERN MARYLAND NEWS NET,Southern Maryland News Net
Media,Southern Maryland News Net,SOUTHERN MARYLAND NEWS NET,Southern Maryland News Net
Media,Southern Maryland News Net,SOUTHERN MARYLAND NEWS NET,Southern Maryland News Net
Media,Southern Maryland News Net,SOUTHERN MARYLAND NEWS NET,Southern Maryland News Net
Media,Southern Maryland News Net,SOUTHERN MARYLAND NEWS NET,Southern Maryland News Net
Media,Southern Maryland News Net,SOUTHERN MARYLAND NEWS NET,Southern Maryland News Net
Media,Southern Maryland News Net,SOUTHERN MARYLAND NEWS NET,Southern Maryland News Net
Media,Southern Maryland News Net,SOUTHERN MARYLAND NEWS NET,Southern Maryland News Net
Media,Southern States,Southern States,Southern States
Media,Sparkosoft Software,Sparkosoft Software,Sparkosoft Software
Media,Speedy Graphics,Speedy Graphics,Speedy Graphics
Media,Speedy Graphics,Speedy Graphics,Speedy Graphics
Media,Spiros Consulting,Spiros Consulting,Spiros Consulting
Media,Sqaure Space,Sqaure Space,Sqaure Space
Media,Sqaure Space,Sqaure Space,Sqaure Space
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Inc,Square Inc,Square Inc
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space,Squarespace,Square Space
Media,Square Space  Inc.,SQUARESPACE INC.,Square Space  Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,Square Space Inc.,SQUARESPACE INC.,Square Space Inc.
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
Media,SquareSpace,Squarespace,SquareSpace
